VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
314, 65,  0.41925,  1.66034,  0.44319,  0.51609, -0.66147,  0.54416, -0.81896, -0.19497,  0.53971, -1.00,  0.73953,  0.51046,  0.73953,  0.51046,  0.73953,  0.51046
315, 77,  0.62392,  1.98537,  0.30134,  0.99403,  0.01768, -0.10769,  0.10314, -0.47458,  0.87415, -1.00,  0.69982,  0.53941,  0.69982,  0.53941,  0.69982,  0.53941
316, 74,  0.55741,  2.05713,  0.58514,  0.32053,  0.90404,  0.2828, -0.58446, -0.04619,  0.8101, -1.00,  0.7266,  0.56341,  0.7266,  0.56341,  0.7266,  0.56341
317, 76,  0.57362,  1.8831,  0.60702,  0.69327, -0.28331,  0.66265, -0.72067, -0.26772,  0.63951, -1.00,  0.73217,  0.54574,  0.73217,  0.54574,  0.73217,  0.54574
318, 77,  0.62392,  1.98537,  0.30134,  0.99403,  0.01768, -0.10769,  0.10314, -0.47458,  0.87415, -1.00,  0.69982,  0.53941,  0.69982,  0.53941,  0.69982,  0.53941
319, 78,  0.60934,  2.01844,  0.30036,  0.42356,  0.90484, -0.04327,  0.43566, -0.16159,  0.88549, -1.00,  0.69752,  0.54301,  0.69752,  0.54301,  0.69752,  0.54301
320, 74,  0.55741,  2.05713,  0.58514,  0.32053,  0.90404,  0.2828, -0.58446, -0.04619,  0.8101, -1.00,  0.7266,  0.56341,  0.7266,  0.56341,  0.7266,  0.56341
321, 65,  0.41925,  1.66034,  0.44319,  0.51609, -0.66147,  0.54416, -0.81896, -0.19497,  0.53971, -1.00,  0.73953,  0.51046,  0.73953,  0.51046,  0.73953,  0.51046
322, 79,  0.51874,  1.73706,  0.41844,  0.76895, -0.63826,  0.03655, -0.34504, -0.36621,  0.8642, -1.00,  0.72752,  0.52073,  0.72752,  0.52073,  0.72752,  0.52073
323, 76,  0.57362,  1.8831,  0.60702,  0.69327, -0.28331,  0.66265, -0.72067, -0.26772,  0.63951, -1.00,  0.73217,  0.54574,  0.73217,  0.54574,  0.73217,  0.54574
324, 77,  0.62392,  1.98537,  0.30134,  0.99403,  0.01768, -0.10769,  0.10314, -0.47458,  0.87415, -1.00,  0.69982,  0.53941,  0.69982,  0.53941,  0.69982,  0.53941
325, 76,  0.57362,  1.8831,  0.60702,  0.69327, -0.28331,  0.66265, -0.72067, -0.26772,  0.63951, -1.00,  0.73217,  0.54574,  0.73217,  0.54574,  0.73217,  0.54574
326, 79,  0.51874,  1.73706,  0.41844,  0.76895, -0.63826,  0.03655, -0.34504, -0.36621,  0.8642, -1.00,  0.72752,  0.52073,  0.72752,  0.52073,  0.72752,  0.52073
327, 80,  0.54017,  1.88049, -0.00628,  0.97106, -0.23682,  0.03084, -0.14268, -0.47177,  0.8701, -1.00,  0.67853,  0.5096,  0.67853,  0.5096,  0.67853,  0.5096
328, 78,  0.60934,  2.01844,  0.30036,  0.42356,  0.90484, -0.04327,  0.43566, -0.16159,  0.88549, -1.00,  0.69752,  0.54301,  0.69752,  0.54301,  0.69752,  0.54301
329, 77,  0.62392,  1.98537,  0.30134,  0.99403,  0.01768, -0.10769,  0.10314, -0.47458,  0.87415, -1.00,  0.69982,  0.53941,  0.69982,  0.53941,  0.69982,  0.53941
330, 80,  0.54017,  1.88049, -0.00628,  0.97106, -0.23682,  0.03084, -0.14268, -0.47177,  0.8701, -1.00,  0.67853,  0.5096,  0.67853,  0.5096,  0.67853,  0.5096
331, 81,  0.54646,  2.02401, -0.05393,  0.92749,  0.3688,  0.06126,  0.10865, -0.42271,  0.89973, -1.00,  0.6656,  0.52106,  0.6656,  0.52106,  0.6656,  0.52106
332, 78,  0.60934,  2.01844,  0.30036,  0.42356,  0.90484, -0.04327,  0.43566, -0.16159,  0.88549, -1.00,  0.69752,  0.54301,  0.69752,  0.54301,  0.69752,  0.54301
333, 82,  0.43802,  1.71464,  0.19471,  0.90946, -0.41453,  0.03252, -0.23398, -0.44555,  0.86414, -1.00,  0.71085,  0.50233,  0.71085,  0.50233,  0.71085,  0.50233
334, 79,  0.51874,  1.73706,  0.41844,  0.76895, -0.63826,  0.03655, -0.34504, -0.36621,  0.8642, -1.00,  0.72752,  0.52073,  0.72752,  0.52073,  0.72752,  0.52073
335, 65,  0.41925,  1.66034,  0.44319,  0.51609, -0.66147,  0.54416, -0.81896, -0.19497,  0.53971, -1.00,  0.73953,  0.51046,  0.73953,  0.51046,  0.73953,  0.51046
336, 83,  0.21966,  0.60384,  0.18735,  0.94854, -0.22255, -0.22528,  0.07838, -0.52426,  0.84794, -1.00,  0.76788,  0.38767,  0.76788,  0.38767,  0.76788,  0.38767
337, 82,  0.43802,  1.71464,  0.19471,  0.90946, -0.41453,  0.03252, -0.23398, -0.44555,  0.86414, -1.00,  0.71085,  0.50233,  0.71085,  0.50233,  0.71085,  0.50233
338, 65,  0.41925,  1.66034,  0.44319,  0.51609, -0.66147,  0.54416, -0.81896, -0.19497,  0.53971, -1.00,  0.73953,  0.51046,  0.73953,  0.51046,  0.73953,  0.51046
339, 84,  0.45564,  1.70721,  0.08304,  0.92319, -0.35091,  0.15678, -0.29972, -0.40195,  0.86522, -1.00,  0.69954,  0.49611,  0.69954,  0.49611,  0.69954,  0.49611
340, 82,  0.43802,  1.71464,  0.19471,  0.90946, -0.41453,  0.03252, -0.23398, -0.44555,  0.86414, -1.00,  0.71085,  0.50233,  0.71085,  0.50233,  0.71085,  0.50233
341, 83,  0.21966,  0.60384,  0.18735,  0.94854, -0.22255, -0.22528,  0.07838, -0.52426,  0.84794, -1.00,  0.76788,  0.38767,  0.76788,  0.38767,  0.76788,  0.38767
342, 77,  0.62392,  1.98537,  0.30134,  0.99403,  0.01768, -0.10769,  0.10314, -0.47458,  0.87415, -1.00,  0.69982,  0.53941,  0.69982,  0.53941,  0.69982,  0.53941
